"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] MovieDateComparator2Years record1Value","[0] MovieDateComparator2Years record2Value","[0] MovieDateComparator2Years record1PreprocessedValue","[0] MovieDateComparator2Years record2PreprocessedValue","[0] MovieDateComparator2Years similarity","[0] MovieDateComparator2Years postproccesedSimilarity","[1] MovieTitleComparatorJaccard record1Value","[1] MovieTitleComparatorJaccard record2Value","[1] MovieTitleComparatorJaccard record1PreprocessedValue","[1] MovieTitleComparatorJaccard record2PreprocessedValue","[1] MovieTitleComparatorJaccard similarity","[1] MovieTitleComparatorJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","academy_awards_1278","actors_75","0.0",,"1987-01-01T00:00","2002-01-01T00:00","1987-01-01T00:00","2002-01-01T00:00","0.0","0.0","Street Smart","Monsters Ball","Street Smart","Monsters Ball","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3452","actors_118","0.0",,"1947-01-01T00:00","1968-01-01T00:00","1947-01-01T00:00","1968-01-01T00:00","0.0","0.0","Road to Rio","In the Heat of the Night","Road to Rio","In the Heat of the Night","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3442","actors_104","0.0",,"1947-01-01T00:00","1954-01-01T00:00","1947-01-01T00:00","1954-01-01T00:00","0.0","0.0","The World Is Rich","Stalag 17","The World Is Rich","Stalag 17","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3452","actors_119","0.0",,"1947-01-01T00:00","1969-01-01T00:00","1947-01-01T00:00","1969-01-01T00:00","0.0","0.0","Road to Rio","Charly","Road to Rio","Charly","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1131","actors_44","0.0",,"1990-01-01T00:00","1971-01-01T00:00","1990-01-01T00:00","1971-01-01T00:00","0.0","0.0","Henry & June","Women In Love","Henry & June","Women In Love","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_488","actors_33","0.0",,"2002-01-01T00:00","1961-01-01T00:00","2002-01-01T00:00","1961-01-01T00:00","0.0","0.0","Mt. Head","Butterfield 8","Mt. Head","Butterfield 8","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3319","actors_108","0.0",,"1949-01-01T00:00","1958-01-01T00:00","1949-01-01T00:00","1958-01-01T00:00","0.0","0.0","Sand","The Bridge On The River Kwai","Sand","The Bridge On The River Kwai","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_488","actors_32","0.0",,"2002-01-01T00:00","1960-01-01T00:00","2002-01-01T00:00","1960-01-01T00:00","0.0","0.0","Mt. Head","Room at the Top","Mt. Head","Room at the Top","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_4165","actors_61","0.0",,"1938-01-01T00:00","1988-01-01T00:00","1938-01-01T00:00","1988-01-01T00:00","0.0","0.0","The Young in Heart","Moonstruck","The Young in Heart","Moonstruck","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_4165","actors_60","0.0",,"1938-01-01T00:00","1987-01-01T00:00","1938-01-01T00:00","1987-01-01T00:00","0.0","0.0","The Young in Heart","Children of a Lesser God","The Young in Heart","Children of a Lesser God","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_4000","actors_15","0.0",,"1941-01-01T00:00","1943-01-01T00:00","1941-01-01T00:00","1943-01-01T00:00","0.0","0.0","Tall, Dark and Handsome","Mrs. Miniver","Tall, Dark and Handsome","Mrs. Miniver","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_4000","actors_14","0.15",,"1941-01-01T00:00","1942-01-01T00:00","1941-01-01T00:00","1942-01-01T00:00","0.5","0.5","Tall, Dark and Handsome","Suspicion","Tall, Dark and Handsome","Suspicion","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2683","actors_79","0.0",,"1960-01-01T00:00","1929-01-01T00:00","1960-01-01T00:00","1929-01-01T00:00","0.0","0.0","Sunrise at Campobello","The Way of All Flesh & The Las","Sunrise at Campobello","The Way of All Flesh & The Las","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3731","actors_86","0.0",,"1943-01-01T00:00","1936-01-01T00:00","1943-01-01T00:00","1936-01-01T00:00","0.0","0.0","Heaven Can Wait","The Informer","Heaven Can Wait","The Informer","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2308","actors_62","0.0",,"1967-01-01T00:00","1989-01-01T00:00","1967-01-01T00:00","1989-01-01T00:00","0.0","0.0","While I Run This Race","The Accused","While I Run This Race","The Accused","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1615","actors_139","0.07777777777777777",,"1981-01-01T00:00","1993-01-01T00:00","1981-01-01T00:00","1993-01-01T00:00","0.0","0.0","The Tender Tale of Cinderella Penguin","Scent of a Woman","The Tender Tale of Cinderella Penguin","Scent of a Woman","0.1111111111111111","0.1111111111111111"
"LinearCombinationMatchingRule","academy_awards_3462","actors_125","0.0",,"1947-01-01T00:00","1975-01-01T00:00","1947-01-01T00:00","1975-01-01T00:00","0.0","0.0","Brooklyn, U.S.A.","Harry and Tonto","Brooklyn, U.S.A.","Harry and Tonto","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3462","actors_124","0.0",,"1947-01-01T00:00","1974-01-01T00:00","1947-01-01T00:00","1974-01-01T00:00","0.0","0.0","Brooklyn, U.S.A.","Save the Tiger","Brooklyn, U.S.A.","Save the Tiger","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_835","actors_140","0.0",,"1996-01-01T00:00","1994-01-01T00:00","1996-01-01T00:00","1994-01-01T00:00","0.0","0.0","Daylight","Philadelphia","Daylight","Philadelphia","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2308","actors_63","0.0",,"1967-01-01T00:00","1990-01-01T00:00","1967-01-01T00:00","1990-01-01T00:00","0.0","0.0","While I Run This Race","Driving Miss Daisy","While I Run This Race","Driving Miss Daisy","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_835","actors_141","0.15",,"1996-01-01T00:00","1995-01-01T00:00","1996-01-01T00:00","1995-01-01T00:00","0.5","0.5","Daylight","Forest Gump","Daylight","Forest Gump","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1274","actors_39","0.0",,"1987-01-01T00:00","1967-01-01T00:00","1987-01-01T00:00","1967-01-01T00:00","0.0","0.0","Dark Eyes","Who�s Afraid of Virginia Woolf","Dark Eyes","Who�s Afraid of Virginia Woolf","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2039","actors_100","0.09999999999999999",,"1972-01-01T00:00","1950-01-01T00:00","1972-01-01T00:00","1950-01-01T00:00","0.0","0.0","The Heartbreak Kid","All the King's Men","The Heartbreak Kid","All the King's Men","0.14285714285714285","0.14285714285714285"
"LinearCombinationMatchingRule","academy_awards_2531","actors_54","0.0",,"1963-01-01T00:00","1981-01-01T00:00","1963-01-01T00:00","1981-01-01T00:00","0.0","0.0","Chagall","Coal Miner�s Daughter","Chagall","Coal Miner�s Daughter","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2531","actors_55","0.0",,"1963-01-01T00:00","1982-01-01T00:00","1963-01-01T00:00","1982-01-01T00:00","0.0","0.0","Chagall","On Golden Pond","Chagall","On Golden Pond","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3869","actors_80","0.0",,"1942-01-01T00:00","1930-01-01T00:00","1942-01-01T00:00","1930-01-01T00:00","0.0","0.0","Flying Tigers","In Old Arizona","Flying Tigers","In Old Arizona","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_815","actors_111","0.0",,"1996-01-01T00:00","1961-01-01T00:00","1996-01-01T00:00","1961-01-01T00:00","0.0","0.0","Sleepers","Elmer Gantry","Sleepers","Elmer Gantry","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1013","actors_34","0.0",,"1992-01-01T00:00","1962-01-01T00:00","1992-01-01T00:00","1962-01-01T00:00","0.0","0.0","The Crying Game","Two Women","The Crying Game","Two Women","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2076","actors_142","0.0",,"1972-01-01T00:00","1996-01-01T00:00","1972-01-01T00:00","1996-01-01T00:00","0.0","0.0","Kama Sutra Rides Again","Leaving Las Vegas","Kama Sutra Rides Again","Leaving Las Vegas","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3929","actors_22","0.0",,"1941-01-01T00:00","1950-01-01T00:00","1941-01-01T00:00","1950-01-01T00:00","0.0","0.0","When Ladies Meet","The Heiress","When Ladies Meet","The Heiress","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3472","actors_138","0.0",,"1947-01-01T00:00","1991-01-01T00:00","1947-01-01T00:00","1991-01-01T00:00","0.0","0.0","T-Men","Reversal of Fortune","T-Men","Reversal of Fortune","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3582","actors_116","0.0",,"1945-01-01T00:00","1966-01-01T00:00","1945-01-01T00:00","1966-01-01T00:00","0.0","0.0","Incendiary Blonde","Cat Ballou","Incendiary Blonde","Cat Ballou","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3312","actors_106","0.0",,"1949-01-01T00:00","1956-01-01T00:00","1949-01-01T00:00","1956-01-01T00:00","0.0","0.0","Madame Bovary","Marty","Madame Bovary","Marty","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1040","actors_92","0.0",,"1992-01-01T00:00","1942-01-01T00:00","1992-01-01T00:00","1942-01-01T00:00","0.0","0.0","The Colours of My Father: A Portrait of Sam Borenstein","Sergeant York","The Colours of My Father: A Portrait of Sam Borenstein","Sergeant York","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1040","actors_93","0.0",,"1992-01-01T00:00","1943-01-01T00:00","1992-01-01T00:00","1943-01-01T00:00","0.0","0.0","The Colours of My Father: A Portrait of Sam Borenstein","Yankee Doodle Dandy","The Colours of My Father: A Portrait of Sam Borenstein","Yankee Doodle Dandy","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3708","actors_70","0.0",,"1944-01-01T00:00","1997-01-01T00:00","1944-01-01T00:00","1997-01-01T00:00","0.0","0.0","Days of Glory","Fargo","Days of Glory","Fargo","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3312","actors_107","0.0",,"1949-01-01T00:00","1957-01-01T00:00","1949-01-01T00:00","1957-01-01T00:00","0.0","0.0","Madame Bovary","The King and I","Madame Bovary","The King and I","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2049","actors_114","0.0",,"1972-01-01T00:00","1964-01-01T00:00","1972-01-01T00:00","1964-01-01T00:00","0.0","0.0","1776","Lilies of the Field","1776","Lilies of the Field","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_479","actors_48","0.0",,"2002-01-01T00:00","1975-01-01T00:00","2002-01-01T00:00","1975-01-01T00:00","0.0","0.0","Nowhere in Africa","Alice Doesn�t live Here Anymor","Nowhere in Africa","Alice Doesn�t live Here Anymor","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3482","actors_145","0.0",,"1946-01-01T00:00","1999-01-01T00:00","1946-01-01T00:00","1999-01-01T00:00","0.0","0.0","The Jolson Story","Life is Beautiful","The Jolson Story","Life is Beautiful","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_593","actors_10","0.13999999999999999",,"2000-01-01T00:00","1938-01-01T00:00","2000-01-01T00:00","1938-01-01T00:00","0.0","0.0","The Periwig-Maker","The Good Earth","The Periwig-Maker","The Good Earth","0.2","0.2"
"LinearCombinationMatchingRule","academy_awards_4261","actors_52","0.0",,"1936-01-01T00:00","1979-01-01T00:00","1936-01-01T00:00","1979-01-01T00:00","0.0","0.0","The Story of Louis Pasteur","Coming Home","The Story of Louis Pasteur","Coming Home","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3322","actors_112","0.0",,"1949-01-01T00:00","1962-01-01T00:00","1949-01-01T00:00","1962-01-01T00:00","0.0","0.0","The Fallen Idol","Judgment at Nuremburg","The Fallen Idol","Judgment at Nuremburg","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2692","actors_62","0.0",,"1960-01-01T00:00","1989-01-01T00:00","1960-01-01T00:00","1989-01-01T00:00","0.0","0.0","Cimarron","The Accused","Cimarron","The Accused","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1283","actors_68","0.0",,"1987-01-01T00:00","1995-01-01T00:00","1987-01-01T00:00","1995-01-01T00:00","0.0","0.0","Gaby - A True Story","Blue Sky","Gaby - A True Story","Blue Sky","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3216","actors_138","0.0",,"1951-01-01T00:00","1991-01-01T00:00","1951-01-01T00:00","1991-01-01T00:00","0.0","0.0","The Seeing Eye","Reversal of Fortune","The Seeing Eye","Reversal of Fortune","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2317","actors_97","0.0875",,"1967-01-01T00:00","1947-01-01T00:00","1967-01-01T00:00","1947-01-01T00:00","0.0","0.0","The Jungle Book","The Best Years of Our Lives","The Jungle Book","The Best Years of Our Lives","0.125","0.125"
"LinearCombinationMatchingRule","academy_awards_2317","actors_96","0.13999999999999999",,"1967-01-01T00:00","1946-01-01T00:00","1967-01-01T00:00","1946-01-01T00:00","0.0","0.0","The Jungle Book","The Lost Weekend","The Jungle Book","The Lost Weekend","0.2","0.2"
"LinearCombinationMatchingRule","academy_awards_4178","actors_98","0.0",,"1938-01-01T00:00","1948-01-01T00:00","1938-01-01T00:00","1948-01-01T00:00","0.0","0.0","Mannequin","A Double Life","Mannequin","A Double Life","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2172","actors_111","0.0",,"1970-01-01T00:00","1961-01-01T00:00","1970-01-01T00:00","1961-01-01T00:00","0.0","0.0","Pieces of Dreams","Elmer Gantry","Pieces of Dreams","Elmer Gantry","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2172","actors_110","0.0",,"1970-01-01T00:00","1960-01-01T00:00","1970-01-01T00:00","1960-01-01T00:00","0.0","0.0","Pieces of Dreams","Ben-Hur","Pieces of Dreams","Ben-Hur","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_272","actors_89","0.0",,"2006-01-01T00:00","1939-01-01T00:00","2006-01-01T00:00","1939-01-01T00:00","0.0","0.0","The Danish Poet","Boys Town","The Danish Poet","Boys Town","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1240","actors_25","0.0",,"1988-01-01T00:00","1953-01-01T00:00","1988-01-01T00:00","1953-01-01T00:00","0.0","0.0","A Handful of Dust","Come Back, Little Sheba","A Handful of Dust","Come Back, Little Sheba","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_49","actors_27","0.0",,"2010-01-01T00:00","1955-01-01T00:00","2010-01-01T00:00","1955-01-01T00:00","0.0","0.0","Na Wewe","The Country Girl","Na Wewe","The Country Girl","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_120","actors_65","0.0",,"2008-01-01T00:00","1992-01-01T00:00","2008-01-01T00:00","1992-01-01T00:00","0.0","0.0","Milk","The Silence of the Lambs","Milk","The Silence of the Lambs","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1240","actors_24","0.09999999999999999",,"1988-01-01T00:00","1952-01-01T00:00","1988-01-01T00:00","1952-01-01T00:00","0.0","0.0","A Handful of Dust","A Streetcar Named Desire","A Handful of Dust","A Streetcar Named Desire","0.14285714285714285","0.14285714285714285"
"LinearCombinationMatchingRule","academy_awards_938","actors_106","0.0",,"1994-01-01T00:00","1956-01-01T00:00","1994-01-01T00:00","1956-01-01T00:00","0.0","0.0","Mary Shelley's Frankenstein","Marty","Mary Shelley's Frankenstein","Marty","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_579","actors_2","0.0",,"2000-01-01T00:00","1930-01-01T00:00","2000-01-01T00:00","1930-01-01T00:00","0.0","0.0","Curtain Call","Coquette","Curtain Call","Coquette","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_584","actors_25","0.0",,"2000-01-01T00:00","1953-01-01T00:00","2000-01-01T00:00","1953-01-01T00:00","0.0","0.0","Amores Perros","Come Back, Little Sheba","Amores Perros","Come Back, Little Sheba","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_120","actors_64","0.0",,"2008-01-01T00:00","1991-01-01T00:00","2008-01-01T00:00","1991-01-01T00:00","0.0","0.0","Milk","Misery","Milk","Misery","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_49","actors_26","0.0",,"2010-01-01T00:00","1954-01-01T00:00","2010-01-01T00:00","1954-01-01T00:00","0.0","0.0","Na Wewe","Roman Holiday","Na Wewe","Roman Holiday","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_4274","actors_41","0.0",,"1936-01-01T00:00","1969-01-01T00:00","1936-01-01T00:00","1969-01-01T00:00","0.0","0.0","Lloyds of London","Funny Girl","Lloyds of London","Funny Girl","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_250","actors_67","0.0",,"2006-01-01T00:00","1994-01-01T00:00","2006-01-01T00:00","1994-01-01T00:00","0.0","0.0","Children of Men","The Piano","Children of Men","The Piano","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1165","actors_58","0.0",,"1990-01-01T00:00","1985-01-01T00:00","1990-01-01T00:00","1985-01-01T00:00","0.0","0.0","David Brown and Richard D. Zanuck","Places in the Heart","David Brown and Richard D. Zanuck","Places in the Heart","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_454","actors_22","0.0",,"2002-01-01T00:00","1950-01-01T00:00","2002-01-01T00:00","1950-01-01T00:00","0.0","0.0","Road to Perdition","The Heiress","Road to Perdition","The Heiress","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3332","actors_126","0.07777777777777777",,"1949-01-01T00:00","1976-01-01T00:00","1949-01-01T00:00","1976-01-01T00:00","0.0","0.0","Beyond the Forest","One Flew Over The Cuckoo's Nes","Beyond the Forest","One Flew Over The Cuckoo's Nes","0.1111111111111111","0.1111111111111111"
"LinearCombinationMatchingRule","academy_awards_3604","actors_86","0.0",,"1945-01-01T00:00","1936-01-01T00:00","1945-01-01T00:00","1936-01-01T00:00","0.0","0.0","White Rhapsody","The Informer","White Rhapsody","The Informer","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1004","actors_44","0.0",,"1993-01-01T00:00","1971-01-01T00:00","1993-01-01T00:00","1971-01-01T00:00","0.0","0.0","Cliffhanger","Women In Love","Cliffhanger","Women In Love","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2440","actors_59","0.0",,"1965-01-01T00:00","1986-01-01T00:00","1965-01-01T00:00","1986-01-01T00:00","0.0","0.0","Casanova '70","Trip to Bountiful","Casanova '70","Trip to Bountiful","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2440","actors_58","0.0",,"1965-01-01T00:00","1985-01-01T00:00","1965-01-01T00:00","1985-01-01T00:00","0.0","0.0","Casanova '70","Places in the Heart","Casanova '70","Places in the Heart","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2426","actors_76","0.175",,"1965-01-01T00:00","2003-01-01T00:00","1965-01-01T00:00","2003-01-01T00:00","0.0","0.0","The Pleasure Seekers","The Hours","The Pleasure Seekers","The Hours","0.25","0.25"
"LinearCombinationMatchingRule","academy_awards_2069","actors_133","0.0",,"1972-01-01T00:00","1986-01-01T00:00","1972-01-01T00:00","1986-01-01T00:00","0.0","0.0","Napoleon and Samantha","Kiss of the Spider Woman","Napoleon and Samantha","Kiss of the Spider Woman","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_4152","actors_39","0.021875",,"1938-01-01T00:00","1967-01-01T00:00","1938-01-01T00:00","1967-01-01T00:00","0.0","0.0","To Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth, and as juvenile players setting a high standard of ability and achievement.","Who�s Afraid of Virginia Woolf","To Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth, and as juvenile players setting a high standard of ability and achievement.","Who�s Afraid of Virginia Woolf","0.03125","0.03125"
"LinearCombinationMatchingRule","academy_awards_4131","actors_50","0.0",,"1939-01-01T00:00","1977-01-01T00:00","1939-01-01T00:00","1977-01-01T00:00","0.0","0.0","Bachelor Mother","Network","Bachelor Mother","Network","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_958","actors_127","0.0",,"1994-01-01T00:00","1978-01-01T00:00","1994-01-01T00:00","1978-01-01T00:00","0.0","0.0","Clint Eastwood","The Goodbye Girl","Clint Eastwood","The Goodbye Girl","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2199","actors_139","0.0",,"1969-01-01T00:00","1993-01-01T00:00","1969-01-01T00:00","1993-01-01T00:00","0.0","0.0","Sweet Charity","Scent of a Woman","Sweet Charity","Scent of a Woman","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1017","actors_33","0.0",,"1992-01-01T00:00","1961-01-01T00:00","1992-01-01T00:00","1961-01-01T00:00","0.0","0.0","Mr. Saturday Night","Butterfield 8","Mr. Saturday Night","Butterfield 8","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1122","actors_14","0.0",,"1990-01-01T00:00","1942-01-01T00:00","1990-01-01T00:00","1942-01-01T00:00","0.0","0.0","Misery","Suspicion","Misery","Suspicion","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1122","actors_15","0.0",,"1990-01-01T00:00","1943-01-01T00:00","1990-01-01T00:00","1943-01-01T00:00","0.0","0.0","Misery","Mrs. Miniver","Misery","Mrs. Miniver","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_965","actors_134","0.13999999999999999",,"1993-01-01T00:00","1987-01-01T00:00","1993-01-01T00:00","1987-01-01T00:00","0.0","0.0","The Fugitive","The Color of Money","The Fugitive","The Color of Money","0.2","0.2"
"LinearCombinationMatchingRule","academy_awards_94","actors_80","0.0",,"2009-01-01T00:00","1930-01-01T00:00","2009-01-01T00:00","1930-01-01T00:00","0.0","0.0","Music by Prudence","In Old Arizona","Music by Prudence","In Old Arizona","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_3996","actors_81","0.0",,"1941-01-01T00:00","1931-01-01T00:00","1941-01-01T00:00","1931-01-01T00:00","0.0","0.0","The Devil Pays Off","Disraeli","The Devil Pays Off","Disraeli","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_94","actors_81","0.0",,"2009-01-01T00:00","1931-01-01T00:00","2009-01-01T00:00","1931-01-01T00:00","0.0","0.0","Music by Prudence","Disraeli","Music by Prudence","Disraeli","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_466","actors_10","0.0",,"2002-01-01T00:00","1938-01-01T00:00","2002-01-01T00:00","1938-01-01T00:00","0.0","0.0","Talk to Her","The Good Earth","Talk to Her","The Good Earth","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2774","actors_28","0.07777777777777777",,"1959-01-01T00:00","1956-01-01T00:00","1959-01-01T00:00","1956-01-01T00:00","0.0","0.0","The Running, Jumping and Standing-Still Film","The Rose Tattoo","The Running, Jumping and Standing-Still Film","The Rose Tattoo","0.1111111111111111","0.1111111111111111"
"LinearCombinationMatchingRule","academy_awards_1711","actors_107","0.11666666666666665",,"1979-01-01T00:00","1957-01-01T00:00","1979-01-01T00:00","1957-01-01T00:00","0.0","0.0","The Muppet Movie","The King and I","The Muppet Movie","The King and I","0.16666666666666666","0.16666666666666666"
"LinearCombinationMatchingRule","academy_awards_118","actors_70","0.0",,"2008-01-01T00:00","1997-01-01T00:00","2008-01-01T00:00","1997-01-01T00:00","0.0","0.0","The Visitor","Fargo","The Visitor","Fargo","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1252","actors_13","0.0",,"1988-01-01T00:00","1941-01-01T00:00","1988-01-01T00:00","1941-01-01T00:00","0.0","0.0","You Don't Have to Die","Kitty Foyle","You Don't Have to Die","Kitty Foyle","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2556","actors_78","0.0",,"1963-01-01T00:00","2005-01-01T00:00","1963-01-01T00:00","2005-01-01T00:00","0.0","0.0","Six-Sided Triangle","Million Dollar Baby","Six-Sided Triangle","Million Dollar Baby","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_118","actors_71","0.0",,"2008-01-01T00:00","1998-01-01T00:00","2008-01-01T00:00","1998-01-01T00:00","0.0","0.0","The Visitor","As Good As It Gets","The Visitor","As Good As It Gets","0.0","0.0"
